name,reclat,reclong,population
"Chesterbrook, PA",40.07572179,-75.45937146,"4,800"
"Penn Wynne, PA",39.98629622,-75.27585542,"5,932"
"Okemos, MI",42.72223128,-84.42864954,"24,141"
"Carmel, IN",39.96804216,-86.13650635,"97,464"
"Richmond Heights, MO",38.63342238,-90.33078193,"8,500"
"Los Alamos, NM",35.87926125,-106.301028,"12,666"
"Holly Hills, CO",39.67208631,-104.9187901,"2,835"
"Clayton, Mo",38.6425989,-90.32230649,"16,588"
"Ardmore, PA",40.00267618,-75.29609932,"12,808"
"Brookline, MA",42.32434081,-71.13805547,"59,180"